usage_id,account_id,feature,usage_month,times_used
U0000266,A00019,Export Data,2024-02,46
U0000267,A00019,Single Sign-On,2024-02,45
U0000268,A00020,Team Collaboration,2024-01,37
U0000269,A00020,Automations,2024-01,17
U0000270,A00020,Custom Workflows,2024-01,39
U0000271,A00020,Advanced Analytics,2024-01,32
U0000272,A00020,Dashboard,2024-01,35
U0000273,A00020,Export Data,2024-01,7
U0000274,A00020,API Access,2024-01,8
U0000275,A00020,Team Collaboration,2024-02,23
U0000276,A00020,Automations,2024-02,43
U0000277,A00020,Custom Workflows,2024-02,24
U0000278,A00020,Advanced Analytics,2024-02,22
U0000279,A00020,Dashboard,2024-02,27
U0000280,A00020,Export Data,2024-02,32
U0000281,A00020,API Access,2024-02,28
U0000282,A00020,Team Collaboration,2024-03,49
U0000283,A00020,Automations,2024-03,9
U0000284,A00020,Custom Workflows,2024-03,21
U0000285,A00020,Advanced Analytics,2024-03,29
U0000286,A00020,Dashboard,2024-03,66
U0000287,A00020,Export Data,2024-03,35
U0000288,A00020,API Access,2024-03,28
U0000289,A00020,Team Collaboration,2024-04,4
U0000290,A00020,Automations,2024-04,30
U0000291,A00020,Custom Workflows,2024-04,27
U0000292,A00020,Advanced Analytics,2024-04,29
U0000293,A00020,Dashboard,2024-04,88
U0000294,A00020,Export Data,2024-04,38
U0000295,A00020,API Access,2024-04,12
U0000296,A00020,Team Collaboration,2024-05,6
U0000297,A00020,Automations,2024-05,33
U0000298,A00020,Custom Workflows,2024-05,39
U0000299,A00020,Advanced Analytics,2024-05,44
U0000300,A00020,Dashboard,2024-05,77
U0000301,A00020,Export Data,2024-05,12
U0000302,A00020,API Access,2024-05,10
U0000303,A00021,Export Data,2023-08,39
U0000304,A00021,API Access,2023-08,17
U0000305,A00021,Team Collaboration,2023-08,44
U0000306,A00021,Dashboard,2023-08,20
U0000307,A00021,Single Sign-On,2023-08,47
U0000308,A00021,Advanced Analytics,2023-08,31
U0000309,A00021,Integrations,2023-08,1
U0000310,A00021,Custom Workflows,2023-08,44
U0000311,A00021,Export Data,2023-09,19
U0000312,A00021,API Access,2023-09,7
U0000313,A00021,Team Collaboration,2023-09,19
U0000314,A00021,Dashboard,2023-09,10
U0000315,A00021,Single Sign-On,2023-09,40
U0000316,A00021,Advanced Analytics,2023-09,43
U0000317,A00021,Integrations,2023-09,8
U0000318,A00021,Custom Workflows,2023-09,40
U0000319,A00021,Export Data,2023-10,19
U0000320,A00021,API Access,2023-10,22
U0000321,A00021,Team Collaboration,2023-10,40
U0000322,A00021,Dashboard,2023-10,48
U0000323,A00021,Single Sign-On,2023-10,15
U0000324,A00021,Advanced Analytics,2023-10,34
U0000325,A00021,Integrations,2023-10,30
U0000326,A00021,Custom Workflows,2023-10,34
U0000327,A00021,Export Data,2023-11,12
U0000328,A00021,API Access,2023-11,22
U0000329,A00021,Team Collaboration,2023-11,44
U0000330,A00021,Dashboard,2023-11,10
U0000331,A00021,Single Sign-On,2023-11,20
U0000332,A00021,Advanced Analytics,2023-11,35
U0000333,A00021,Integrations,2023-11,21
U0000334,A00021,Custom Workflows,2023-11,25
U0000335,A00022,Reports,2023-09,79
U0000336,A00022,Dashboard,2023-09,99
U0000337,A00022,Reports,2023-10,99
U0000338,A00022,Dashboard,2023-10,70
U0000339,A00022,Reports,2023-11,36
U0000340,A00022,Dashboard,2023-11,19
U0000341,A00023,Reports,2023-11,31
U0000342,A00023,Advanced Analytics,2023-11,26
U0000343,A00023,Reports,2023-12,32
U0000344,A00023,Advanced Analytics,2023-12,13
U0000345,A00023,Reports,2024-01,70
U0000346,A00023,Advanced Analytics,2024-01,20
U0000347,A00024,Reports,2023-09,51
U0000348,A00024,Export Data,2023-09,46
U0000349,A00024,Reports,2023-10,82
U0000350,A00024,Export Data,2023-10,21
U0000351,A00024,Reports,2023-11,76
U0000352,A00024,Export Data,2023-11,13
U0000353,A00025,Advanced Analytics,2024-09,46
U0000354,A00025,Advanced Analytics,2024-10,46
U0000355,A00026,Reports,2024-09,53
U0000356,A00026,Integrations,2024-09,9
U0000357,A00026,Custom Workflows,2024-09,45
U0000358,A00026,API Access,2024-09,4
U0000359,A00026,Export Data,2024-09,13
U0000360,A00026,Advanced Analytics,2024-09,22
U0000361,A00026,Dashboard,2024-09,70
U0000362,A00026,Reports,2024-10,19
U0000363,A00026,Integrations,2024-10,12
U0000364,A00026,Custom Workflows,2024-10,38
U0000365,A00026,API Access,2024-10,11
U0000366,A00026,Export Data,2024-10,11
U0000367,A00026,Advanced Analytics,2024-10,22
U0000368,A00026,Dashboard,2024-10,89
U0000369,A00026,Reports,2024-11,20
U0000370,A00026,Integrations,2024-11,12
U0000371,A00026,Custom Workflows,2024-11,3
U0000372,A00026,API Access,2024-11,10
U0000373,A00026,Export Data,2024-11,47
U0000374,A00026,Advanced Analytics,2024-11,29
U0000375,A00026,Dashboard,2024-11,82
U0000376,A00026,Reports,2024-12,19
U0000377,A00026,Integrations,2024-12,16
U0000378,A00026,Custom Workflows,2024-12,19
U0000379,A00026,API Access,2024-12,16
U0000380,A00026,Export Data,2024-12,9
U0000381,A00026,Advanced Analytics,2024-12,40
U0000382,A00026,Dashboard,2024-12,72
U0000383,A00027,Dashboard,2024-12,73
U0000384,A00027,Custom Workflows,2024-12,5
U0000385,A00028,Single Sign-On,2023-09,37
U0000386,A00028,Export Data,2023-09,10
U0000387,A00028,Team Collaboration,2023-09,17
U0000388,A00028,Single Sign-On,2023-10,9
U0000389,A00028,Export Data,2023-10,23
U0000390,A00028,Team Collaboration,2023-10,42
U0000391,A00029,Advanced Analytics,2023-12,3
U0000392,A00029,Team Collaboration,2023-12,11
U0000393,A00029,Integrations,2023-12,25
U0000394,A00029,Dashboard,2023-12,63
U0000395,A00029,Automations,2023-12,19
U0000396,A00029,Single Sign-On,2023-12,27
U0000397,A00029,Custom Workflows,2023-12,3
U0000398,A00029,Export Data,2023-12,49
U0000399,A00029,Advanced Analytics,2024-01,16
U0000400,A00029,Team Collaboration,2024-01,48
U0000401,A00029,Integrations,2024-01,3
U0000402,A00029,Dashboard,2024-01,15
U0000403,A00029,Automations,2024-01,25
U0000404,A00029,Single Sign-On,2024-01,14
U0000405,A00029,Custom Workflows,2024-01,8
U0000406,A00029,Export Data,2024-01,46
U0000407,A00029,Advanced Analytics,2024-02,21
U0000408,A00029,Team Collaboration,2024-02,32
U0000409,A00029,Integrations,2024-02,11
U0000410,A00029,Dashboard,2024-02,60
U0000411,A00029,Automations,2024-02,20
U0000412,A00029,Single Sign-On,2024-02,22
U0000413,A00029,Custom Workflows,2024-02,37
U0000414,A00029,Export Data,2024-02,14
U0000415,A00029,Advanced Analytics,2024-03,35
U0000416,A00029,Team Collaboration,2024-03,16
U0000417,A00029,Integrations,2024-03,17
U0000418,A00029,Dashboard,2024-03,36
U0000419,A00029,Automations,2024-03,20
U0000420,A00029,Single Sign-On,2024-03,31
U0000421,A00029,Custom Workflows,2024-03,37
U0000422,A00029,Export Data,2024-03,48
U0000423,A00029,Advanced Analytics,2024-04,29
U0000424,A00029,Team Collaboration,2024-04,15
U0000425,A00029,Integrations,2024-04,15
U0000426,A00029,Dashboard,2024-04,28
U0000427,A00029,Automations,2024-04,15
U0000428,A00029,Single Sign-On,2024-04,4
U0000429,A00029,Custom Workflows,2024-04,34
U0000430,A00029,Export Data,2024-04,19
U0000431,A00029,Advanced Analytics,2024-05,46
U0000432,A00029,Team Collaboration,2024-05,37
U0000433,A00029,Integrations,2024-05,3
U0000434,A00029,Dashboard,2024-05,91
U0000435,A00029,Automations,2024-05,28
U0000436,A00029,Single Sign-On,2024-05,38
U0000437,A00029,Custom Workflows,2024-05,46
U0000438,A00029,Export Data,2024-05,34
U0000439,A00029,Advanced Analytics,2024-06,5
U0000440,A00029,Team Collaboration,2024-06,45
U0000441,A00029,Integrations,2024-06,19
U0000442,A00029,Dashboard,2024-06,56
U0000443,A00029,Automations,2024-06,42
U0000444,A00029,Single Sign-On,2024-06,32
U0000445,A00029,Custom Workflows,2024-06,35
U0000446,A00029,Export Data,2024-06,43
U0000447,A00029,Advanced Analytics,2024-07,6
U0000448,A00029,Team Collaboration,2024-07,8
U0000449,A00029,Integrations,2024-07,16
U0000450,A00029,Dashboard,2024-07,53
U0000451,A00029,Automations,2024-07,42
U0000452,A00029,Single Sign-On,2024-07,5
U0000453,A00029,Custom Workflows,2024-07,39
U0000454,A00029,Export Data,2024-07,48
U0000455,A00030,Dashboard,2023-06,91
U0000456,A00030,Single Sign-On,2023-06,35
U0000457,A00030,Dashboard,2023-07,15
U0000458,A00030,Single Sign-On,2023-07,29
U0000459,A00031,Single Sign-On,2024-03,34
U0000460,A00031,Dashboard,2024-03,18
U0000461,A00031,Export Data,2024-03,50
U0000462,A00031,Team Collaboration,2024-03,7
U0000463,A00031,Single Sign-On,2024-04,44
U0000464,A00031,Dashboard,2024-04,50
U0000465,A00031,Export Data,2024-04,19
U0000466,A00031,Team Collaboration,2024-04,43
U0000467,A00031,Single Sign-On,2024-05,5
U0000468,A00031,Dashboard,2024-05,82
U0000469,A00031,Export Data,2024-05,16
U0000470,A00031,Team Collaboration,2024-05,20
U0000471,A00031,Single Sign-On,2024-05,13
U0000472,A00031,Dashboard,2024-05,76
U0000473,A00031,Export Data,2024-05,40
U0000474,A00031,Team Collaboration,2024-05,29
U0000475,A00031,Single Sign-On,2024-06,4
U0000476,A00031,Dashboard,2024-06,33
U0000477,A00031,Export Data,2024-06,33
U0000478,A00031,Team Collaboration,2024-06,11
U0000479,A00032,Team Collaboration,2023-03,31
U0000480,A00032,Integrations,2023-03,20
U0000481,A00033,Dashboard,2024-10,40
U0000482,A00033,Automations,2024-10,34
U0000483,A00033,Team Collaboration,2024-10,15
U0000484,A00033,Custom Workflows,2024-10,17
U0000485,A00033,Dashboard,2024-11,88
U0000486,A00033,Automations,2024-11,5
U0000487,A00033,Team Collaboration,2024-11,43
U0000488,A00033,Custom Workflows,2024-11,15
U0000489,A00033,Dashboard,2024-12,93
U0000490,A00033,Automations,2024-12,16
U0000491,A00033,Team Collaboration,2024-12,43
U0000492,A00033,Custom Workflows,2024-12,45
U0000493,A00034,API Access,2023-09,4
U0000494,A00034,Automations,2023-09,50
U0000495,A00034,API Access,2023-10,14
U0000496,A00034,Automations,2023-10,28
U0000497,A00035,Automations,2024-04,9
U0000498,A00035,Automations,2024-05,22
U0000499,A00035,Automations,2024-06,12
U0000500,A00036,Custom Workflows,2023-07,19
U0000501,A00036,Export Data,2023-07,41
U0000502,A00036,Reports,2023-07,56
U0000503,A00036,API Access,2023-07,19
U0000504,A00036,Dashboard,2023-07,26
U0000505,A00036,Custom Workflows,2023-08,11
U0000506,A00036,Export Data,2023-08,46
U0000507,A00036,Reports,2023-08,54
U0000508,A00036,API Access,2023-08,2
U0000509,A00036,Dashboard,2023-08,25
U0000510,A00036,Custom Workflows,2023-09,24
U0000511,A00036,Export Data,2023-09,7
U0000512,A00036,Reports,2023-09,42
U0000513,A00036,API Access,2023-09,8
U0000514,A00036,Dashboard,2023-09,30
U0000515,A00036,Custom Workflows,2023-10,26
U0000516,A00036,Export Data,2023-10,34
U0000517,A00036,Reports,2023-10,93
U0000518,A00036,API Access,2023-10,8
U0000519,A00036,Dashboard,2023-10,93
U0000520,A00036,Custom Workflows,2023-10,37
U0000521,A00036,Export Data,2023-10,38
U0000522,A00036,Reports,2023-10,18
U0000523,A00036,API Access,2023-10,17
U0000524,A00036,Dashboard,2023-10,28
U0000525,A00036,Custom Workflows,2023-11,20
U0000526,A00036,Export Data,2023-11,49
U0000527,A00036,Reports,2023-11,61
U0000528,A00036,API Access,2023-11,22
U0000529,A00036,Dashboard,2023-11,60
U0000530,A00036,Custom Workflows,2023-12,6
U0000531,A00036,Export Data,2023-12,42
U0000532,A00036,Reports,2023-12,40
U0000533,A00036,API Access,2023-12,9
U0000534,A00036,Dashboard,2023-12,25
U0000535,A00036,Custom Workflows,2024-01,13
U0000536,A00036,Export Data,2024-01,7
U0000537,A00036,Reports,2024-01,24
U0000538,A00036,API Access,2024-01,9
U0000539,A00036,Dashboard,2024-01,96
U0000540,A00036,Custom Workflows,2024-02,16
U0000541,A00036,Export Data,2024-02,27
U0000542,A00036,Reports,2024-02,45
U0000543,A00036,API Access,2024-02,24
U0000544,A00036,Dashboard,2024-02,98
U0000545,A00037,Custom Workflows,2024-05,12
U0000546,A00037,Advanced Analytics,2024-05,18
U0000547,A00037,Custom Workflows,2024-06,19
U0000548,A00037,Advanced Analytics,2024-06,50
U0000549,A00038,Custom Workflows,2024-06,11
U0000550,A00038,Integrations,2024-06,22
U0000551,A00038,Export Data,2024-06,42
U0000552,A00038,Team Collaboration,2024-06,50
U0000553,A00038,Dashboard,2024-06,22
U0000554,A00038,API Access,2024-06,28
U0000555,A00038,Advanced Analytics,2024-06,48
U0000556,A00038,Single Sign-On,2024-06,23
U0000557,A00038,Custom Workflows,2024-07,13
U0000558,A00038,Integrations,2024-07,7
U0000559,A00038,Export Data,2024-07,50
U0000560,A00038,Team Collaboration,2024-07,33
U0000561,A00038,Dashboard,2024-07,86
U0000562,A00038,API Access,2024-07,13
U0000563,A00038,Advanced Analytics,2024-07,44
U0000564,A00038,Single Sign-On,2024-07,19
U0000565,A00038,Custom Workflows,2024-08,49
U0000566,A00038,Integrations,2024-08,7
U0000567,A00038,Export Data,2024-08,5
U0000568,A00038,Team Collaboration,2024-08,46
U0000569,A00038,Dashboard,2024-08,61
U0000570,A00038,API Access,2024-08,25
U0000571,A00038,Advanced Analytics,2024-08,36
U0000572,A00038,Single Sign-On,2024-08,38
U0000573,A00038,Custom Workflows,2024-09,4
U0000574,A00038,Integrations,2024-09,11
U0000575,A00038,Export Data,2024-09,8
U0000576,A00038,Team Collaboration,2024-09,12
U0000577,A00038,Dashboard,2024-09,77
U0000578,A00038,API Access,2024-09,3
U0000579,A00038,Advanced Analytics,2024-09,13
U0000580,A00038,Single Sign-On,2024-09,21
U0000581,A00038,Custom Workflows,2024-10,45
U0000582,A00038,Integrations,2024-10,24
U0000583,A00038,Export Data,2024-10,39
U0000584,A00038,Team Collaboration,2024-10,10
U0000585,A00038,Dashboard,2024-10,51
U0000586,A00038,API Access,2024-10,27
U0000587,A00038,Advanced Analytics,2024-10,42
U0000588,A00038,Single Sign-On,2024-10,14
U0000589,A00039,Automations,2023-01,23
U0000590,A00039,Single Sign-On,2023-01,12
U0000591,A00039,Export Data,2023-01,47
U0000592,A00039,Automations,2023-02,4
U0000593,A00039,Single Sign-On,2023-02,43
U0000594,A00039,Export Data,2023-02,21
U0000595,A00039,Automations,2023-03,38
U0000596,A00039,Single Sign-On,2023-03,48
U0000597,A00039,Export Data,2023-03,32
U0000598,A00040,Dashboard,2024-08,34
U0000599,A00040,Export Data,2024-08,6
U0000600,A00040,Custom Workflows,2024-08,38
U0000601,A00040,Integrations,2024-08,12
U0000602,A00040,Dashboard,2024-09,50
U0000603,A00040,Export Data,2024-09,50
U0000604,A00040,Custom Workflows,2024-09,22
U0000605,A00040,Integrations,2024-09,14
U0000606,A00040,Dashboard,2024-10,88
U0000607,A00040,Export Data,2024-10,5
U0000608,A00040,Custom Workflows,2024-10,20
U0000609,A00040,Integrations,2024-10,9
U0000610,A00040,Dashboard,2024-11,83
U0000611,A00040,Export Data,2024-11,16
U0000612,A00040,Custom Workflows,2024-11,3
U0000613,A00040,Integrations,2024-11,18
U0000614,A00041,Team Collaboration,2024-06,41
U0000615,A00041,Dashboard,2024-06,75
U0000616,A00041,Integrations,2024-06,6
U0000617,A00041,Single Sign-On,2024-06,44
U0000618,A00041,API Access,2024-06,15
U0000619,A00041,Export Data,2024-06,7
U0000620,A00041,Team Collaboration,2024-07,47
U0000621,A00041,Dashboard,2024-07,25
U0000622,A00041,Integrations,2024-07,17
U0000623,A00041,Single Sign-On,2024-07,34
U0000624,A00041,API Access,2024-07,14
U0000625,A00041,Export Data,2024-07,6
U0000626,A00041,Team Collaboration,2024-08,5
U0000627,A00041,Dashboard,2024-08,59
U0000628,A00041,Integrations,2024-08,23
U0000629,A00041,Single Sign-On,2024-08,48
U0000630,A00041,API Access,2024-08,3
