event_id,account_id,event_type,event_date
E0000068,A00020,Exported Data,2024-01-27
E0000069,A00020,Connected Integration,2024-02-14
E0000070,A00021,Signed Up,2023-08-12
E0000071,A00021,Completed Onboarding,2023-08-15
E0000072,A00021,Created First Report,2023-11-02
E0000073,A00021,Upgraded Plan,2023-10-31
E0000074,A00021,Exported Data,2023-09-16
E0000075,A00022,Signed Up,2023-09-20
E0000076,A00022,Completed Onboarding,2023-09-25
E0000077,A00023,Signed Up,2023-11-25
E0000078,A00023,Enabled Automation,2023-12-26
E0000079,A00023,Upgraded Plan,2024-01-16
E0000080,A00024,Signed Up,2023-09-20
E0000081,A00025,Signed Up,2024-09-17
E0000082,A00025,Created First Report,2024-10-17
E0000083,A00026,Signed Up,2024-09-10
E0000084,A00026,Upgraded Plan,2024-12-04
E0000085,A00026,Enabled Automation,2024-11-22
E0000086,A00026,Connected Integration,2024-10-19
E0000087,A00027,Signed Up,2024-12-12
E0000088,A00027,Upgraded Plan,2024-12-25
E0000089,A00027,Exported Data,2024-12-13
E0000090,A00028,Signed Up,2023-09-25
E0000091,A00028,Completed Onboarding,2023-09-29
E0000092,A00028,Invited Team Member,2023-10-09
E0000093,A00028,Exported Data,2023-11-27
E0000094,A00029,Signed Up,2023-12-20
E0000095,A00029,Completed Onboarding,2023-12-23
E0000096,A00029,Connected Integration,2023-12-25
E0000097,A00029,Enabled Automation,2024-02-26
E0000098,A00029,Invited Team Member,2024-03-08
E0000099,A00029,Upgraded Plan,2024-02-07
E0000100,A00030,Signed Up,2023-06-21
E0000101,A00030,Completed Onboarding,2023-06-26
E0000102,A00031,Signed Up,2024-03-02
E0000103,A00031,Completed Onboarding,2024-03-04
E0000104,A00031,Exported Data,2024-03-28
E0000105,A00031,Connected Integration,2024-05-21
E0000106,A00032,Signed Up,2023-03-01
E0000107,A00032,Completed Onboarding,2023-03-04
E0000108,A00033,Signed Up,2024-10-03
E0000109,A00033,Completed Onboarding,2024-10-05
E0000110,A00033,Invited Team Member,2024-12-27
E0000111,A00034,Signed Up,2023-09-29
E0000112,A00034,Completed Onboarding,2023-09-29
E0000113,A00034,Invited Team Member,2023-10-10
E0000114,A00034,Exported Data,2023-12-17
E0000115,A00035,Signed Up,2024-04-02
E0000116,A00035,Completed Onboarding,2024-04-02
E0000117,A00035,Invited Team Member,2024-05-19
E0000118,A00036,Signed Up,2023-07-03
E0000119,A00036,Completed Onboarding,2023-07-06
E0000120,A00036,Connected Integration,2023-09-08
E0000121,A00036,Upgraded Plan,2023-07-12
E0000122,A00036,Exported Data,2023-08-26
E0000123,A00036,Created First Report,2023-09-10
E0000124,A00037,Signed Up,2024-05-05
E0000125,A00038,Signed Up,2024-06-28
E0000126,A00038,Completed Onboarding,2024-07-02
E0000127,A00038,Upgraded Plan,2024-09-05
E0000128,A00038,Invited Team Member,2024-07-25
E0000129,A00038,Created First Report,2024-08-09
E0000130,A00038,Enabled Automation,2024-09-19
E0000131,A00039,Signed Up,2023-01-05
E0000132,A00039,Created First Report,2023-02-21
E0000133,A00040,Signed Up,2024-08-19
E0000134,A00040,Exported Data,2024-09-19
E0000135,A00040,Invited Team Member,2024-08-29
E0000136,A00041,Signed Up,2024-06-07
E0000137,A00041,Completed Onboarding,2024-06-09
E0000138,A00041,Connected Integration,2024-06-11
E0000139,A00041,Created First Report,2024-06-25
E0000140,A00042,Signed Up,2023-04-30
E0000141,A00042,Completed Onboarding,2023-05-04
E0000142,A00042,Created First Report,2023-07-02
E0000143,A00043,Signed Up,2024-01-09
E0000144,A00043,Completed Onboarding,2024-01-12
E0000145,A00043,Connected Integration,2024-02-25
E0000146,A00044,Signed Up,2023-06-27
E0000147,A00044,Completed Onboarding,2023-07-02
E0000148,A00044,Connected Integration,2023-07-26
E0000149,A00044,Upgraded Plan,2023-06-27
E0000150,A00045,Signed Up,2023-04-27
E0000151,A00045,Completed Onboarding,2023-04-27
E0000152,A00045,Exported Data,2023-05-12
E0000153,A00045,Enabled Automation,2023-05-12
E0000154,A00046,Signed Up,2023-03-30
E0000155,A00046,Completed Onboarding,2023-03-30
E0000156,A00046,Upgraded Plan,2023-04-10
E0000157,A00046,Enabled Automation,2023-05-04
E0000158,A00046,Connected Integration,2023-06-25
E0000159,A00046,Invited Team Member,2023-06-07
E0000160,A00046,Exported Data,2023-06-04
E0000161,A00046,Created First Report,2023-06-13
E0000162,A00047,Signed Up,2023-02-24
E0000163,A00047,Completed Onboarding,2023-02-25
E0000164,A00047,Enabled Automation,2023-05-03
E0000165,A00047,Exported Data,2023-03-09
E0000166,A00047,Upgraded Plan,2023-05-18
E0000167,A00047,Connected Integration,2023-05-06
E0000168,A00047,Invited Team Member,2023-03-02
E0000169,A00047,Created First Report,2023-03-28
E0000170,A00048,Signed Up,2024-06-17
E0000171,A00048,Invited Team Member,2024-08-14
E0000172,A00048,Upgraded Plan,2024-08-14
E0000173,A00049,Signed Up,2024-11-29
E0000174,A00050,Signed Up,2024-09-08
E0000175,A00050,Completed Onboarding,2024-09-12
E0000176,A00050,Created First Report,2024-11-14
E0000177,A00051,Signed Up,2023-06-20
E0000178,A00051,Completed Onboarding,2023-06-20
E0000179,A00051,Invited Team Member,2023-08-13
E0000180,A00051,Created First Report,2023-07-31
E0000181,A00051,Enabled Automation,2023-07-21
E0000182,A00051,Exported Data,2023-08-22
E0000183,A00051,Upgraded Plan,2023-09-14
E0000184,A00052,Signed Up,2023-06-12
E0000185,A00052,Completed Onboarding,2023-06-13
E0000186,A00052,Created First Report,2023-08-05
E0000187,A00053,Signed Up,2023-10-30
E0000188,A00054,Signed Up,2023-03-16
E0000189,A00054,Completed Onboarding,2023-03-18
E0000190,A00055,Signed Up,2023-11-21
E0000191,A00055,Completed Onboarding,2023-11-26
E0000192,A00055,Connected Integration,2023-11-24
E0000193,A00056,Signed Up,2023-02-05
E0000194,A00057,Signed Up,2024-12-11
E0000195,A00057,Completed Onboarding,2024-12-15
E0000196,A00058,Signed Up,2024-03-05
E0000197,A00058,Completed Onboarding,2024-03-07
E0000198,A00059,Signed Up,2023-02-25
E0000199,A00059,Connected Integration,2023-05-19
E0000200,A00059,Exported Data,2023-05-05
E0000201,A00060,Signed Up,2024-08-03
E0000202,A00061,Signed Up,2023-01-30
E0000203,A00062,Signed Up,2023-07-04
E0000204,A00062,Completed Onboarding,2023-07-07
E0000205,A00063,Signed Up,2023-09-18
E0000206,A00063,Completed Onboarding,2023-09-22
E0000207,A00063,Created First Report,2023-12-12
E0000208,A00063,Connected Integration,2023-10-17
E0000209,A00063,Invited Team Member,2023-09-30
E0000210,A00063,Enabled Automation,2023-12-04
E0000211,A00064,Signed Up,2024-04-01
E0000212,A00064,Completed Onboarding,2024-04-03
E0000213,A00064,Exported Data,2024-05-17
E0000214,A00064,Connected Integration,2024-04-23
E0000215,A00065,Signed Up,2023-05-16
E0000216,A00065,Completed Onboarding,2023-05-18
E0000217,A00066,Signed Up,2023-06-13
E0000218,A00066,Completed Onboarding,2023-06-15
E0000219,A00066,Enabled Automation,2023-07-28
E0000220,A00066,Exported Data,2023-06-23
E0000221,A00066,Connected Integration,2023-06-26
E0000222,A00066,Created First Report,2023-06-27
E0000223,A00066,Upgraded Plan,2023-08-27
E0000224,A00066,Invited Team Member,2023-07-22
E0000225,A00067,Signed Up,2023-06-27
E0000226,A00067,Upgraded Plan,2023-09-19
E0000227,A00067,Exported Data,2023-07-12
E0000228,A00067,Enabled Automation,2023-06-29
E0000229,A00067,Invited Team Member,2023-07-21
E0000230,A00067,Connected Integration,2023-09-08
E0000231,A00067,Created First Report,2023-09-18
E0000232,A00068,Signed Up,2023-08-21
E0000233,A00069,Signed Up,2023-03-16
E0000234,A00069,Exported Data,2023-06-03
E0000235,A00070,Signed Up,2023-12-09
E0000236,A00070,Invited Team Member,2023-12-13
E0000237,A00070,Exported Data,2024-02-15
E0000238,A00071,Signed Up,2023-01-31
E0000239,A00071,Completed Onboarding,2023-01-31
E0000240,A00071,Exported Data,2023-04-03
E0000241,A00071,Upgraded Plan,2023-03-15
E0000242,A00071,Invited Team Member,2023-04-16
E0000243,A00071,Enabled Automation,2023-05-01
E0000244,A00072,Signed Up,2024-11-18
E0000245,A00072,Completed Onboarding,2024-11-21
E0000246,A00072,Enabled Automation,2024-12-23
E0000247,A00073,Signed Up,2024-12-14
E0000248,A00073,Completed Onboarding,2024-12-17
E0000249,A00073,Enabled Automation,2024-12-25
E0000250,A00073,Invited Team Member,2024-12-24
E0000251,A00074,Signed Up,2024-09-14
E0000252,A00074,Completed Onboarding,2024-09-14
E0000253,A00075,Signed Up,2023-11-22
E0000254,A00075,Created First Report,2024-01-19
E0000255,A00076,Signed Up,2023-01-23
E0000256,A00076,Completed Onboarding,2023-01-25
E0000257,A00077,Signed Up,2024-09-27
E0000258,A00077,Completed Onboarding,2024-09-28
E0000259,A00077,Upgraded Plan,2024-11-24
E0000260,A00078,Signed Up,2024-11-04
E0000261,A00079,Signed Up,2024-07-25
E0000262,A00079,Completed Onboarding,2024-07-30
E0000263,A00079,Connected Integration,2024-09-19
E0000264,A00079,Invited Team Member,2024-08-13
E0000265,A00080,Signed Up,2023-12-20
E0000266,A00080,Connected Integration,2024-01-26
E0000267,A00081,Signed Up,2023-03-07
E0000268,A00081,Completed Onboarding,2023-03-08
E0000269,A00081,Enabled Automation,2023-04-27
E0000270,A00081,Upgraded Plan,2023-03-21
E0000271,A00082,Signed Up,2023-04-15
E0000272,A00082,Completed Onboarding,2023-04-15
E0000273,A00082,Upgraded Plan,2023-06-04
E0000274,A00082,Exported Data,2023-06-23
E0000275,A00083,Signed Up,2023-05-05
E0000276,A00083,Invited Team Member,2023-05-13
E0000277,A00083,Upgraded Plan,2023-05-19
E0000278,A00084,Signed Up,2024-12-21
E0000279,A00085,Signed Up,2023-08-29
E0000280,A00085,Completed Onboarding,2023-09-03
E0000281,A00086,Signed Up,2024-02-12
E0000282,A00087,Signed Up,2023-10-14
E0000283,A00087,Completed Onboarding,2023-10-14
E0000284,A00087,Upgraded Plan,2023-10-27
E0000285,A00088,Signed Up,2023-03-29
E0000286,A00088,Invited Team Member,2023-06-24
E0000287,A00088,Connected Integration,2023-03-29
E0000288,A00089,Signed Up,2024-10-11
E0000289,A00089,Completed Onboarding,2024-10-15
E0000290,A00089,Exported Data,2024-11-08
E0000291,A00090,Signed Up,2024-11-09
E0000292,A00090,Exported Data,2024-11-30
E0000293,A00090,Created First Report,2024-11-17
E0000294,A00090,Connected Integration,2024-12-22
E0000295,A00091,Signed Up,2023-04-20
E0000296,A00091,Completed Onboarding,2023-04-23
E0000297,A00091,Connected Integration,2023-06-11
E0000298,A00091,Invited Team Member,2023-05-24
E0000299,A00091,Created First Report,2023-06-22
E0000300,A00092,Signed Up,2023-04-18
E0000301,A00093,Signed Up,2023-04-09
E0000302,A00093,Completed Onboarding,2023-04-11
E0000303,A00093,Connected Integration,2023-05-22
E0000304,A00093,Created First Report,2023-04-22
E0000305,A00093,Invited Team Member,2023-06-06
E0000306,A00093,Upgraded Plan,2023-06-03
E0000307,A00094,Signed Up,2023-02-05
E0000308,A00094,Created First Report,2023-03-14
E0000309,A00095,Signed Up,2024-02-05
E0000310,A00095,Completed Onboarding,2024-02-08
E0000311,A00095,Upgraded Plan,2024-02-17
E0000312,A00095,Exported Data,2024-03-31
E0000313,A00095,Connected Integration,2024-05-03
E0000314,A00095,Created First Report,2024-02-24
E0000315,A00096,Signed Up,2023-09-17
E0000316,A00096,Completed Onboarding,2023-09-17
E0000317,A00097,Signed Up,2023-07-14
E0000318,A00097,Invited Team Member,2023-08-03
E0000319,A00097,Connected Integration,2023-09-15
E0000320,A00098,Signed Up,2023-08-24
E0000321,A00098,Completed Onboarding,2023-08-24
E0000322,A00098,Exported Data,2023-11-18
E0000323,A00098,Connected Integration,2023-09-19
E0000324,A00098,Created First Report,2023-11-01
E0000325,A00098,Upgraded Plan,2023-09-16
E0000326,A00099,Signed Up,2024-02-14
E0000327,A00099,Completed Onboarding,2024-02-18
E0000328,A00099,Upgraded Plan,2024-03-30
E0000329,A00099,Exported Data,2024-02-17
E0000330,A00100,Signed Up,2024-03-11
E0000331,A00100,Completed Onboarding,2024-03-16
E0000332,A00100,Upgraded Plan,2024-04-28
E0000333,A00100,Connected Integration,2024-03-28
E0000334,A00100,Exported Data,2024-06-01
E0000335,A00100,Created First Report,2024-04-13
E0000336,A00101,Signed Up,2023-04-28
E0000337,A00101,Completed Onboarding,2023-04-30
E0000338,A00101,Enabled Automation,2023-07-01
E0000339,A00101,Connected Integration,2023-05-04
E0000340,A00101,Created First Report,2023-06-08
E0000341,A00102,Signed Up,2023-11-28
E0000342,A00102,Enabled Automation,2023-12-06
E0000343,A00103,Signed Up,2024-05-31
E0000344,A00103,Exported Data,2024-06-28
E0000345,A00103,Connected Integration,2024-08-02
E0000346,A00104,Signed Up,2024-09-23
E0000347,A00104,Completed Onboarding,2024-09-25
E0000348,A00104,Connected Integration,2024-10-03
E0000349,A00104,Enabled Automation,2024-12-15
E0000350,A00104,Exported Data,2024-11-04
E0000351,A00104,Created First Report,2024-10-08
E0000352,A00105,Signed Up,2024-10-05
E0000353,A00105,Upgraded Plan,2024-10-27
E0000354,A00106,Signed Up,2023-06-17
E0000355,A00106,Completed Onboarding,2023-06-20
E0000356,A00106,Connected Integration,2023-08-19
E0000357,A00106,Upgraded Plan,2023-07-12
E0000358,A00107,Signed Up,2024-06-30
E0000359,A00107,Completed Onboarding,2024-06-30
E0000360,A00107,Upgraded Plan,2024-08-21
E0000361,A00108,Signed Up,2023-12-19
E0000362,A00108,Completed Onboarding,2023-12-24
E0000363,A00108,Enabled Automation,2024-01-27
E0000364,A00108,Connected Integration,2024-02-22
E0000365,A00108,Exported Data,2024-02-03
E0000366,A00109,Signed Up,2024-12-10
E0000367,A00109,Completed Onboarding,2024-12-12
E0000368,A00109,Connected Integration,2024-12-13
E0000369,A00109,Enabled Automation,2024-12-31
E0000370,A00109,Created First Report,2024-12-14
E0000371,A00109,Exported Data,2024-12-22
E0000372,A00109,Upgraded Plan,2024-12-18
E0000373,A00109,Invited Team Member,2024-12-24
E0000374,A00110,Signed Up,2023-02-11
E0000375,A00110,Completed Onboarding,2023-02-14
E0000376,A00110,Invited Team Member,2023-03-22
E0000377,A00111,Signed Up,2024-07-11
E0000378,A00111,Upgraded Plan,2024-09-20
E0000379,A00112,Signed Up,2024-01-22
E0000380,A00112,Completed Onboarding,2024-01-26
E0000381,A00113,Signed Up,2023-12-27
E0000382,A00113,Completed Onboarding,2023-12-31
E0000383,A00113,Exported Data,2023-12-29
E0000384,A00114,Signed Up,2023-01-05
E0000385,A00114,Completed Onboarding,2023-01-07
E0000386,A00114,Exported Data,2023-03-02
E0000387,A00114,Enabled Automation,2023-02-17
E0000388,A00115,Signed Up,2024-08-30
E0000389,A00115,Upgraded Plan,2024-10-30
E0000390,A00115,Created First Report,2024-10-26
E0000391,A00116,Signed Up,2023-10-10
E0000392,A00116,Invited Team Member,2023-12-26
E0000393,A00117,Signed Up,2023-05-13
E0000394,A00117,Completed Onboarding,2023-05-17
E0000395,A00117,Upgraded Plan,2023-07-26
E0000396,A00118,Signed Up,2024-01-29
E0000397,A00118,Completed Onboarding,2024-02-02
E0000398,A00119,Signed Up,2023-08-22
E0000399,A00119,Completed Onboarding,2023-08-26
E0000400,A00120,Signed Up,2023-09-05
E0000401,A00120,Completed Onboarding,2023-09-08
E0000402,A00120,Enabled Automation,2023-09-20
E0000403,A00120,Created First Report,2023-11-09
E0000404,A00120,Exported Data,2023-11-21
E0000405,A00120,Connected Integration,2023-11-19
E0000406,A00120,Upgraded Plan,2023-11-28
E0000407,A00121,Signed Up,2023-05-13
E0000408,A00121,Completed Onboarding,2023-05-15
E0000409,A00121,Connected Integration,2023-06-01
E0000410,A00121,Invited Team Member,2023-06-20
E0000411,A00121,Enabled Automation,2023-07-19
E0000412,A00121,Exported Data,2023-08-07
E0000413,A00121,Upgraded Plan,2023-06-27
E0000414,A00121,Created First Report,2023-08-06
E0000415,A00122,Signed Up,2024-04-14
E0000416,A00123,Signed Up,2024-09-13
E0000417,A00123,Upgraded Plan,2024-10-22
E0000418,A00124,Signed Up,2023-05-09
E0000419,A00124,Completed Onboarding,2023-05-10
E0000420,A00124,Enabled Automation,2023-07-09
E0000421,A00124,Created First Report,2023-06-30
E0000422,A00124,Exported Data,2023-06-14
E0000423,A00124,Invited Team Member,2023-07-18
E0000424,A00124,Upgraded Plan,2023-06-24
E0000425,A00124,Connected Integration,2023-06-20
E0000426,A00125,Signed Up,2024-12-04
E0000427,A00125,Completed Onboarding,2024-12-05
E0000428,A00125,Enabled Automation,2024-12-26
E0000429,A00126,Signed Up,2024-05-25
E0000430,A00126,Enabled Automation,2024-07-25
E0000431,A00127,Signed Up,2024-12-15
E0000432,A00128,Signed Up,2024-01-17
E0000433,A00129,Signed Up,2023-09-28
E0000434,A00129,Completed Onboarding,2023-10-03
E0000435,A00129,Enabled Automation,2023-12-06
E0000436,A00130,Signed Up,2023-03-23
E0000437,A00130,Completed Onboarding,2023-03-24
E0000438,A00131,Signed Up,2023-11-07
E0000439,A00131,Completed Onboarding,2023-11-09
E0000440,A00132,Signed Up,2023-02-01
E0000441,A00132,Completed Onboarding,2023-02-02
E0000442,A00132,Enabled Automation,2023-02-04
E0000443,A00132,Created First Report,2023-04-03
E0000444,A00132,Connected Integration,2023-02-21
E0000445,A00132,Invited Team Member,2023-02-08
E0000446,A00132,Exported Data,2023-03-21
E0000447,A00133,Signed Up,2023-08-16
E0000448,A00133,Connected Integration,2023-10-27
E0000449,A00133,Invited Team Member,2023-09-09
E0000450,A00133,Upgraded Plan,2023-08-18
E0000451,A00133,Enabled Automation,2023-10-28
E0000452,A00134,Signed Up,2023-01-07
E0000453,A00134,Invited Team Member,2023-02-05
E0000454,A00135,Signed Up,2024-05-07
E0000455,A00135,Completed Onboarding,2024-05-09
E0000456,A00136,Signed Up,2023-05-25
E0000457,A00136,Completed Onboarding,2023-05-29
E0000458,A00136,Connected Integration,2023-05-29
E0000459,A00137,Signed Up,2024-07-22
E0000460,A00138,Signed Up,2024-04-23
E0000461,A00138,Connected Integration,2024-06-04
E0000462,A00138,Upgraded Plan,2024-05-14
E0000463,A00139,Signed Up,2024-02-11
E0000464,A00139,Exported Data,2024-02-19
E0000465,A00139,Invited Team Member,2024-05-09
E0000466,A00139,Connected Integration,2024-04-05
E0000467,A00139,Created First Report,2024-04-22
E0000468,A00140,Signed Up,2024-01-31
E0000469,A00140,Connected Integration,2024-02-08
E0000470,A00141,Signed Up,2023-08-24
E0000471,A00141,Completed Onboarding,2023-08-25
E0000472,A00141,Upgraded Plan,2023-11-05
E0000473,A00142,Signed Up,2024-03-24
E0000474,A00142,Enabled Automation,2024-03-25
E0000475,A00142,Exported Data,2024-05-23
E0000476,A00143,Signed Up,2024-10-30
E0000477,A00143,Completed Onboarding,2024-11-02
E0000478,A00143,Exported Data,2024-11-17
E0000479,A00144,Signed Up,2023-06-22
E0000480,A00145,Signed Up,2024-12-08
E0000481,A00145,Completed Onboarding,2024-12-12
E0000482,A00145,Enabled Automation,2024-12-20
E0000483,A00146,Signed Up,2024-04-20
E0000484,A00147,Signed Up,2023-11-04
E0000485,A00147,Enabled Automation,2023-12-26
E0000486,A00148,Signed Up,2024-05-10
E0000487,A00148,Completed Onboarding,2024-05-15
E0000488,A00148,Created First Report,2024-06-07
E0000489,A00148,Enabled Automation,2024-08-05
E0000490,A00148,Exported Data,2024-06-15
E0000491,A00148,Upgraded Plan,2024-06-18
E0000492,A00149,Signed Up,2023-11-18
E0000493,A00149,Completed Onboarding,2023-11-23
E0000494,A00149,Invited Team Member,2024-01-31
E0000495,A00149,Upgraded Plan,2024-01-16
E0000496,A00149,Exported Data,2024-01-29
E0000497,A00150,Signed Up,2023-07-13
E0000498,A00150,Completed Onboarding,2023-07-15
E0000499,A00150,Upgraded Plan,2023-07-19
E0000500,A00150,Created First Report,2023-09-30
E0000501,A00150,Invited Team Member,2023-07-28
E0000502,A00151,Signed Up,2023-02-09
E0000503,A00151,Completed Onboarding,2023-02-11
E0000504,A00151,Exported Data,2023-03-17
E0000505,A00151,Connected Integration,2023-05-07
E0000506,A00152,Signed Up,2023-01-07
E0000507,A00152,Invited Team Member,2023-04-02
E0000508,A00153,Signed Up,2024-01-11
E0000509,A00153,Completed Onboarding,2024-01-16
E0000510,A00153,Exported Data,2024-01-20
E0000511,A00153,Connected Integration,2024-01-28
E0000512,A00153,Invited Team Member,2024-03-29
E0000513,A00153,Upgraded Plan,2024-02-13
E0000514,A00153,Enabled Automation,2024-01-11
E0000515,A00154,Signed Up,2023-02-12
E0000516,A00154,Completed Onboarding,2023-02-12
E0000517,A00154,Enabled Automation,2023-03-12
E0000518,A00154,Created First Report,2023-03-24
E0000519,A00155,Signed Up,2023-10-17
E0000520,A00155,Completed Onboarding,2023-10-20
E0000521,A00155,Connected Integration,2023-11-26
E0000522,A00155,Enabled Automation,2023-12-14
E0000523,A00155,Created First Report,2024-01-08
E0000524,A00155,Exported Data,2023-11-29
E0000525,A00156,Signed Up,2024-05-06
E0000526,A00156,Exported Data,2024-06-12
E0000527,A00157,Signed Up,2023-09-19
E0000528,A00157,Completed Onboarding,2023-09-20
E0000529,A00157,Created First Report,2023-12-05
E0000530,A00158,Signed Up,2023-01-29
E0000531,A00158,Completed Onboarding,2023-01-30
E0000532,A00158,Enabled Automation,2023-02-22
E0000533,A00158,Created First Report,2023-03-19
E0000534,A00158,Upgraded Plan,2023-04-22
E0000535,A00158,Invited Team Member,2023-02-11
E0000536,A00159,Signed Up,2023-09-29
E0000537,A00159,Completed Onboarding,2023-10-04
E0000538,A00159,Exported Data,2023-11-17
E0000539,A00159,Connected Integration,2023-10-06
E0000540,A00160,Signed Up,2024-07-05
E0000541,A00160,Enabled Automation,2024-07-11
E0000542,A00160,Upgraded Plan,2024-07-29
E0000543,A00160,Exported Data,2024-08-28
E0000544,A00161,Signed Up,2023-11-25
E0000545,A00161,Completed Onboarding,2023-11-26
E0000546,A00161,Connected Integration,2024-01-28
E0000547,A00162,Signed Up,2024-07-20
E0000548,A00162,Completed Onboarding,2024-07-21
E0000549,A00162,Exported Data,2024-08-30
E0000550,A00162,Created First Report,2024-08-04
E0000551,A00162,Upgraded Plan,2024-07-28
E0000552,A00163,Signed Up,2024-05-24
E0000553,A00164,Signed Up,2024-08-16
E0000554,A00164,Completed Onboarding,2024-08-18
E0000555,A00164,Enabled Automation,2024-11-05
E0000556,A00165,Signed Up,2023-10-22
E0000557,A00165,Completed Onboarding,2023-10-25
E0000558,A00165,Enabled Automation,2024-01-14
E0000559,A00165,Upgraded Plan,2023-11-05
E0000560,A00165,Exported Data,2024-01-12
E0000561,A00165,Invited Team Member,2023-12-22
E0000562,A00166,Signed Up,2023-04-26
E0000563,A00166,Created First Report,2023-06-16
E0000564,A00166,Connected Integration,2023-05-02
E0000565,A00167,Signed Up,2023-06-30
E0000566,A00167,Completed Onboarding,2023-07-05
E0000567,A00167,Connected Integration,2023-07-20
E0000568,A00167,Upgraded Plan,2023-09-12
E0000569,A00168,Signed Up,2024-06-05
E0000570,A00168,Created First Report,2024-08-16
E0000571,A00169,Signed Up,2023-07-21
E0000572,A00169,Completed Onboarding,2023-07-23
E0000573,A00170,Signed Up,2023-08-12
E0000574,A00171,Signed Up,2023-07-30
E0000575,A00171,Completed Onboarding,2023-07-30
E0000576,A00171,Connected Integration,2023-09-26
E0000577,A00171,Created First Report,2023-09-04
E0000578,A00171,Upgraded Plan,2023-10-24
E0000579,A00172,Signed Up,2023-06-23
E0000580,A00172,Completed Onboarding,2023-06-28
E0000581,A00172,Upgraded Plan,2023-09-21
E0000582,A00172,Created First Report,2023-07-15
E0000583,A00173,Signed Up,2024-01-16
E0000584,A00173,Completed Onboarding,2024-01-19
E0000585,A00173,Created First Report,2024-04-15
E0000586,A00173,Connected Integration,2024-04-03
E0000587,A00174,Signed Up,2024-06-08
E0000588,A00174,Enabled Automation,2024-07-30
E0000589,A00175,Signed Up,2024-12-06
E0000590,A00175,Completed Onboarding,2024-12-07
E0000591,A00175,Invited Team Member,2024-12-16
E0000592,A00175,Exported Data,2024-12-26
E0000593,A00176,Signed Up,2024-11-18
E0000594,A00176,Completed Onboarding,2024-11-22
E0000595,A00176,Created First Report,2024-12-14
E0000596,A00177,Signed Up,2023-08-30
E0000597,A00177,Upgraded Plan,2023-09-25
E0000598,A00177,Enabled Automation,2023-11-14
E0000599,A00178,Signed Up,2024-07-20
E0000600,A00178,Created First Report,2024-08-25
E0000601,A00178,Enabled Automation,2024-09-25
