account_id,signup_date,industry,company_size,source,plan,mrr,trial_end_date,conversion_date,churned,churn_date
A00092,2023-04-18,Logistics,11-50,Referral,Free,0,2023-05-02,,No,
A00093,2023-04-09,Education,51-200,Organic Search,Enterprise,999,2023-04-23,2023-04-25,No,
A00094,2023-02-05,SaaS,500+,Direct,Free,0,2023-02-19,,No,
A00095,2024-02-05,Real Estate,51-200,Paid Ads,Enterprise,1499,2024-02-19,2024-02-23,No,
A00096,2023-09-17,Real Estate,11-50,Direct,Free,0,2023-10-01,,No,
A00097,2023-07-14,Fintech,500+,Referral,Free,0,2023-07-28,,No,
A00098,2023-08-24,SaaS,51-200,LinkedIn,Growth,149,2023-09-07,2023-09-09,No,
A00099,2024-02-14,E-commerce,1-10,LinkedIn,Free,0,2024-02-28,,No,
A00100,2024-03-11,SaaS,1-10,Product Hunt,Growth,199,2024-03-25,2024-03-26,No,
A00101,2023-04-28,Education,51-200,Paid Ads,Growth,149,2023-05-12,2023-05-15,No,
A00102,2023-11-28,Education,11-50,Organic Search,Free,0,2023-12-12,,No,
A00103,2024-05-31,Education,201-500,Organic Search,Free,0,2024-06-14,,No,
A00104,2024-09-23,Marketing Agency,11-50,Referral,Growth,199,2024-10-07,2024-10-10,No,
A00105,2024-10-05,Logistics,500+,LinkedIn,Free,0,2024-10-19,,No,
A00106,2023-06-17,Fintech,51-200,LinkedIn,Free,0,2023-07-01,,No,
A00107,2024-06-30,E-commerce,1-10,Referral,Free,0,2024-07-14,,No,
A00108,2023-12-19,Logistics,11-50,Paid Ads,Starter,49,2024-01-02,2024-01-06,Yes,2024-07-22
A00109,2024-12-10,Education,1-10,Partner,Enterprise,799,2024-12-24,2024-12-30,No,
A00110,2023-02-11,Real Estate,1-10,Paid Ads,Free,0,2023-02-25,,No,
A00111,2024-07-11,Marketing Agency,201-500,LinkedIn,Free,0,2024-07-25,,No,
A00112,2024-01-22,Healthcare,1-10,Referral,Free,0,2024-02-05,,No,
A00113,2023-12-27,Education,1-10,Paid Ads,Free,0,2024-01-10,,No,
A00114,2023-01-05,Marketing Agency,201-500,Referral,Free,0,2023-01-19,,No,
A00115,2024-08-30,Education,500+,Organic Search,Free,0,2024-09-13,,No,
A00116,2023-10-10,Fintech,11-50,Product Hunt,Free,0,2023-10-24,,No,
A00117,2023-05-13,Education,1-10,Referral,Starter,49,2023-05-27,2023-05-29,No,
A00118,2024-01-29,E-commerce,51-200,Organic Search,Free,0,2024-02-12,,No,
A00119,2023-08-22,Real Estate,1-10,Product Hunt,Free,0,2023-09-05,,No,
A00120,2023-09-05,E-commerce,500+,Partner,Enterprise,999,2023-09-19,2023-09-20,No,
A00121,2023-05-13,E-commerce,51-200,Direct,Enterprise,1499,2023-05-27,2023-05-27,Yes,2024-03-20
A00122,2024-04-14,Healthcare,1-10,Product Hunt,Free,0,2024-04-28,,No,
A00123,2024-09-13,Logistics,11-50,Paid Ads,Free,0,2024-09-27,,No,
A00124,2023-05-09,Real Estate,500+,Partner,Enterprise,999,2023-05-23,2023-05-23,Yes,2023-07-08
A00125,2024-12-04,Logistics,500+,Paid Ads,Free,0,2024-12-18,,No,
A00126,2024-05-25,Education,11-50,Partner,Free,0,2024-06-08,,No,
A00127,2024-12-15,Marketing Agency,1-10,Paid Ads,Free,0,2024-12-29,,No,
A00128,2024-01-17,Logistics,11-50,LinkedIn,Free,0,2024-01-31,,No,
A00129,2023-09-28,Education,500+,Paid Ads,Free,0,2023-10-12,,No,
A00130,2023-03-23,Education,201-500,Product Hunt,Free,0,2023-04-06,,No,
A00131,2023-11-07,Fintech,1-10,Product Hunt,Free,0,2023-11-21,,No,
A00132,2023-02-01,Healthcare,51-200,Direct,Growth,199,2023-02-15,2023-02-15,No,
A00133,2023-08-16,Marketing Agency,51-200,Referral,Growth,249,2023-08-30,2023-09-03,No,
A00134,2023-01-07,Real Estate,500+,Paid Ads,Free,0,2023-01-21,,No,
A00135,2024-05-07,Fintech,51-200,Direct,Free,0,2024-05-21,,No,
A00136,2023-05-25,E-commerce,500+,Direct,Free,0,2023-06-08,,No,
A00137,2024-07-22,Fintech,500+,Direct,Free,0,2024-08-05,,No,
A00138,2024-04-23,SaaS,500+,Paid Ads,Free,0,2024-05-07,,No,
A00139,2024-02-11,Marketing Agency,201-500,Referral,Growth,149,2024-02-25,2024-02-26,Yes,2024-07-31
A00140,2024-01-31,Logistics,11-50,Paid Ads,Free,0,2024-02-14,,No,
A00141,2023-08-24,Fintech,1-10,Referral,Starter,79,2023-09-07,2023-09-14,Yes,2024-02-25
A00142,2024-03-24,E-commerce,500+,Referral,Free,0,2024-04-07,,No,
A00143,2024-10-30,Logistics,201-500,LinkedIn,Free,0,2024-11-13,,No,
A00144,2023-06-22,Real Estate,11-50,LinkedIn,Free,0,2023-07-06,,No,
A00145,2024-12-08,Real Estate,11-50,Partner,Free,0,2024-12-22,,No,
A00146,2024-04-20,Real Estate,201-500,Paid Ads,Free,0,2024-05-04,,No,
A00147,2023-11-04,Real Estate,201-500,LinkedIn,Free,0,2023-11-18,,No,
A00148,2024-05-10,Healthcare,201-500,Organic Search,Growth,299,2024-05-24,2024-05-30,No,
A00149,2023-11-18,Healthcare,1-10,Partner,Growth,149,2023-12-02,2023-12-08,Yes,2024-11-03
A00150,2023-07-13,Education,11-50,Paid Ads,Growth,149,2023-07-27,2023-07-27,No,
A00151,2023-02-09,Healthcare,11-50,Paid Ads,Free,0,2023-02-23,,No,
A00152,2023-01-07,Education,201-500,Paid Ads,Free,0,2023-01-21,,No,
A00153,2024-01-11,Healthcare,51-200,Referral,Growth,199,2024-01-25,2024-01-26,No,
A00154,2023-02-12,Logistics,11-50,Partner,Free,0,2023-02-26,,No,
A00155,2023-10-17,Marketing Agency,51-200,Partner,Growth,249,2023-10-31,2023-11-05,No,
A00156,2024-05-06,E-commerce,201-500,Direct,Free,0,2024-05-20,,No,
A00157,2023-09-19,SaaS,500+,LinkedIn,Free,0,2023-10-03,,No,
A00158,2023-01-29,E-commerce,51-200,Product Hunt,Growth,249,2023-02-12,2023-02-17,No,
A00159,2023-09-29,Healthcare,11-50,Product Hunt,Free,0,2023-10-13,,No,
A00160,2024-07-05,Real Estate,1-10,Organic Search,Starter,29,2024-07-19,2024-07-22,No,
A00161,2023-11-25,E-commerce,11-50,Paid Ads,Free,0,2023-12-09,,No,
A00162,2024-07-20,Logistics,500+,Referral,Enterprise,999,2024-08-03,2024-08-08,Yes,2024-10-11
A00163,2024-05-24,Fintech,11-50,Direct,Free,0,2024-06-07,,No,
A00164,2024-08-16,E-commerce,1-10,Partner,Starter,79,2024-08-30,2024-09-04,Yes,2024-10-21
A00165,2023-10-22,Education,51-200,Direct,Enterprise,799,2023-11-05,2023-11-05,No,
A00166,2023-04-26,SaaS,500+,Partner,Free,0,2023-05-10,,No,
A00167,2023-06-30,Healthcare,500+,Organic Search,Growth,199,2023-07-14,2023-07-16,Yes,2024-03-21
A00168,2024-06-05,Logistics,51-200,Product Hunt,Free,0,2024-06-19,,No,
A00169,2023-07-21,Education,11-50,Product Hunt,Free,0,2023-08-04,,No,
A00170,2023-08-12,Real Estate,51-200,Partner,Free,0,2023-08-26,,No,
A00171,2023-07-30,E-commerce,500+,Organic Search,Enterprise,1499,2023-08-13,2023-08-17,Yes,2023-10-30
A00172,2023-06-23,SaaS,11-50,Organic Search,Starter,49,2023-07-07,2023-07-07,No,
A00173,2024-01-16,Fintech,51-200,Partner,Growth,199,2024-01-30,2024-02-05,No,
A00174,2024-06-08,SaaS,51-200,Product Hunt,Free,0,2024-06-22,,No,
A00175,2024-12-06,E-commerce,51-200,Referral,Free,0,2024-12-20,,No,
A00176,2024-11-18,Marketing Agency,1-10,Paid Ads,Free,0,2024-12-02,,No,
A00177,2023-08-30,SaaS,201-500,LinkedIn,Free,0,2023-09-13,,No,
A00178,2024-07-20,SaaS,11-50,Product Hunt,Starter,49,2024-08-03,2024-08-04,Yes,2024-09-24
A00179,2024-10-03,Education,1-10,Product Hunt,Starter,79,2024-10-17,2024-10-17,No,
A00180,2024-04-09,Education,51-200,LinkedIn,Free,0,2024-04-23,,No,
A00181,2023-05-14,Marketing Agency,201-500,LinkedIn,Free,0,2023-05-28,,No,
A00182,2024-05-04,SaaS,11-50,Partner,Free,0,2024-05-18,,No,
A00183,2023-03-11,Fintech,1-10,Partner,Free,0,2023-03-25,,No,
A00184,2024-06-24,Logistics,500+,Paid Ads,Free,0,2024-07-08,,No,
A00185,2023-10-26,Education,1-10,Partner,Free,0,2023-11-09,,No,
A00186,2024-11-18,E-commerce,500+,Referral,Growth,249,2024-12-02,2024-12-06,Yes,2025-01-05
A00187,2023-06-08,Marketing Agency,201-500,Direct,Free,0,2023-06-22,,No,
A00188,2024-04-19,Marketing Agency,51-200,Paid Ads,Free,0,2024-05-03,,No,
A00189,2023-08-03,Education,51-200,Direct,Growth,299,2023-08-17,2023-08-18,No,
A00190,2023-05-09,Education,51-200,Product Hunt,Free,0,2023-05-23,,No,
A00191,2023-06-27,Education,500+,Paid Ads,Free,0,2023-07-11,,No,
A00192,2024-06-18,E-commerce,51-200,Product Hunt,Free,0,2024-07-02,,No,
A00193,2023-01-15,Fintech,201-500,Partner,Free,0,2023-01-29,,No,
A00194,2023-10-06,Fintech,1-10,LinkedIn,Free,0,2023-10-20,,No,
A00195,2024-06-09,Fintech,500+,Partner,Free,0,2024-06-23,,No,
A00196,2023-07-19,SaaS,1-10,Paid Ads,Free,0,2023-08-02,,No,
A00197,2024-09-12,Logistics,51-200,Product Hunt,Free,0,2024-09-26,,No,
A00198,2024-06-16,E-commerce,201-500,Direct,Free,0,2024-06-30,,No,
A00199,2024-04-10,Marketing Agency,500+,LinkedIn,Growth,149,2024-04-24,2024-04-24,No,
A00200,2023-09-07,Healthcare,51-200,Direct,Free,0,2023-09-21,,No,
A00201,2024-08-02,Education,1-10,Product Hunt,Free,0,2024-08-16,,No,
A00202,2024-11-16,E-commerce,51-200,Product Hunt,Growth,299,2024-11-30,2024-12-01,Yes,2024-12-31
A00203,2024-03-23,Fintech,500+,Direct,Growth,149,2024-04-06,2024-04-10,Yes,2024-05-27
A00204,2023-12-06,Fintech,201-500,Partner,Growth,149,2023-12-20,2023-12-21,No,
A00205,2024-06-08,Healthcare,201-500,Referral,Free,0,2024-06-22,,No,
A00206,2023-12-05,Marketing Agency,201-500,LinkedIn,Free,0,2023-12-19,,No,
A00207,2024-04-04,Fintech,11-50,Paid Ads,Free,0,2024-04-18,,No,
A00208,2024-05-08,Logistics,51-200,Referral,Growth,199,2024-05-22,2024-05-22,No,
A00209,2024-11-25,Real Estate,1-10,LinkedIn,Free,0,2024-12-09,,No,
A00210,2024-03-13,Healthcare,1-10,LinkedIn,Free,0,2024-03-27,,No,
A00211,2024-03-28,Real Estate,201-500,LinkedIn,Growth,299,2024-04-11,2024-04-14,Yes,2024-10-27
A00212,2023-08-18,Marketing Agency,201-500,Referral,Free,0,2023-09-01,,No,
A00213,2024-08-21,Real Estate,500+,Partner,Growth,199,2024-09-04,2024-09-10,Yes,2024-11-19
A00214,2024-07-03,Education,11-50,Referral,Free,0,2024-07-17,,No,
A00215,2023-09-10,Real Estate,51-200,Product Hunt,Free,0,2023-09-24,,No,
A00216,2024-02-05,E-commerce,11-50,Partner,Enterprise,999,2024-02-19,2024-02-19,No,
A00217,2023-10-24,E-commerce,1-10,Product Hunt,Free,0,2023-11-07,,No,
A00218,2023-06-10,Logistics,51-200,Partner,Starter,79,2023-06-24,2023-06-28,No,
A00219,2024-08-27,E-commerce,201-500,Direct,Enterprise,799,2024-09-10,2024-09-17,Yes,2024-12-16
A00220,2023-12-05,SaaS,201-500,Organic Search,Free,0,2023-12-19,,No,
A00221,2024-12-30,Fintech,500+,LinkedIn,Growth,199,2025-01-13,2025-01-19,No,
A00222,2023-09-18,Fintech,11-50,Direct,Starter,49,2023-10-02,2023-10-09,No,
A00223,2024-08-03,SaaS,51-200,Partner,Free,0,2024-08-17,,No,
A00224,2024-10-14,Marketing Agency,1-10,Direct,Free,0,2024-10-28,,No,
A00225,2023-05-12,E-commerce,1-10,Referral,Free,0,2023-05-26,,No,
A00226,2023-05-16,E-commerce,500+,Product Hunt,Free,0,2023-05-30,,No,
A00227,2024-03-21,Marketing Agency,201-500,Partner,Free,0,2024-04-04,,No,
A00228,2023-03-10,Fintech,500+,Referral,Free,0,2023-03-24,,No,
A00229,2023-05-25,E-commerce,1-10,Partner,Free,0,2023-06-08,,No,
A00230,2024-02-15,Education,51-200,Organic Search,Free,0,2024-02-29,,No,
A00231,2023-06-01,Healthcare,1-10,Direct,Free,0,2023-06-15,,No,
A00232,2023-10-21,SaaS,500+,Organic Search,Free,0,2023-11-04,,No,
A00233,2024-03-23,Education,1-10,LinkedIn,Free,0,2024-04-06,,No,
A00234,2024-04-18,Fintech,11-50,Paid Ads,Free,0,2024-05-02,,No,
A00235,2024-01-05,Marketing Agency,1-10,Direct,Free,0,2024-01-19,,No,
A00236,2023-09-23,SaaS,201-500,Partner,Enterprise,799,2023-10-07,2023-10-14,No,
A00237,2024-12-28,Education,500+,LinkedIn,Free,0,2025-01-11,,No,
A00238,2024-05-11,E-commerce,1-10,Partner,Starter,49,2024-05-25,2024-05-28,No,
A00239,2024-06-22,Logistics,500+,Paid Ads,Free,0,2024-07-06,,No,
A00240,2023-06-30,Marketing Agency,201-500,Paid Ads,Free,0,2023-07-14,,No,
A00241,2024-04-04,E-commerce,1-10,Partner,Free,0,2024-04-18,,No,
A00242,2023-02-18,Education,201-500,Referral,Free,0,2023-03-04,,No,
A00243,2023-11-04,Fintech,1-10,Referral,Free,0,2023-11-18,,No,
A00244,2023-03-14,Marketing Agency,500+,Referral,Free,0,2023-03-28,,No,
A00245,2023-07-19,Logistics,11-50,Paid Ads,Free,0,2023-08-02,,No,
A00246,2023-08-03,E-commerce,500+,Organic Search,Free,0,2023-08-17,,No,
A00247,2023-01-04,Logistics,1-10,Referral,Free,0,2023-01-18,,No,
A00248,2024-12-28,Healthcare,11-50,Referral,Free,0,2025-01-11,,No,
A00249,2023-09-11,Education,500+,Direct,Free,0,2023-09-25,,No,
A00250,2023-08-28,Marketing Agency,1-10,Partner,Free,0,2023-09-11,,No,
A00251,2023-01-02,SaaS,1-10,Direct,Free,0,2023-01-16,,No,
A00252,2024-09-12,Fintech,201-500,Organic Search,Growth,199,2024-09-26,2024-09-27,No,
A00253,2024-08-17,Education,11-50,Product Hunt,Free,0,2024-08-31,,No,
A00254,2024-04-03,Real Estate,201-500,Referral,Free,0,2024-04-17,,No,
A00255,2023-09-25,Healthcare,201-500,Referral,Free,0,2023-10-09,,No,
A00256,2024-12-16,Fintech,500+,Direct,Free,0,2024-12-30,,No,
A00257,2024-08-15,Logistics,500+,Direct,Free,0,2024-08-29,,No,
A00258,2023-09-28,Education,500+,Product Hunt,Free,0,2023-10-12,,No,
A00259,2023-11-09,Education,11-50,Referral,Starter,49,2023-11-23,2023-11-23,No,
A00260,2024-11-20,Real Estate,11-50,LinkedIn,Free,0,2024-12-04,,No,
A00261,2023-05-06,Logistics,11-50,Product Hunt,Starter,49,2023-05-20,2023-05-27,Yes,2024-04-08
A00262,2024-05-20,Healthcare,500+,LinkedIn,Starter,49,2024-06-03,2024-06-10,No,
A00263,2023-09-05,Marketing Agency,51-200,Direct,Free,0,2023-09-19,,No,
A00264,2024-02-07,SaaS,1-10,Organic Search,Free,0,2024-02-21,,No,
A00265,2023-07-28,E-commerce,11-50,LinkedIn,Starter,49,2023-08-11,2023-08-14,Yes,2023-12-16
A00266,2023-01-27,Education,51-200,Referral,Starter,49,2023-02-10,2023-02-15,No,
A00267,2024-10-02,Education,51-200,Paid Ads,Free,0,2024-10-16,,No,
A00268,2024-06-28,Logistics,500+,Organic Search,Free,0,2024-07-12,,No,
A00269,2023-12-10,Real Estate,1-10,LinkedIn,Free,0,2023-12-24,,No,
A00270,2023-04-18,Fintech,51-200,Partner,Enterprise,999,2023-05-02,2023-05-09,Yes,2023-09-10
A00271,2024-05-07,Marketing Agency,201-500,Product Hunt,Free,0,2024-05-21,,No,
A00272,2024-03-23,Real Estate,500+,Paid Ads,Free,0,2024-04-06,,No,
A00273,2023-05-04,Real Estate,11-50,LinkedIn,Free,0,2023-05-18,,No,
A00274,2023-10-29,Logistics,201-500,Paid Ads,Growth,149,2023-11-12,2023-11-16,Yes,2024-01-19
A00275,2024-08-16,Logistics,1-10,Organic Search,Free,0,2024-08-30,,No,
A00276,2023-11-13,Logistics,51-200,LinkedIn,Growth,149,2023-11-27,2023-12-04,No,
A00277,2023-08-07,E-commerce,11-50,Partner,Free,0,2023-08-21,,No,
A00278,2023-01-01,SaaS,1-10,Referral,Starter,29,2023-01-15,2023-01-21,No,
A00279,2024-12-09,Education,51-200,Paid Ads,Free,0,2024-12-23,,No,
A00280,2023-05-04,E-commerce,51-200,LinkedIn,Enterprise,999,2023-05-18,2023-05-20,No,
A00281,2024-12-07,Real Estate,201-500,Organic Search,Free,0,2024-12-21,,No,
A00282,2024-07-13,SaaS,201-500,Paid Ads,Growth,149,2024-07-27,2024-07-29,No,
A00283,2024-04-15,Marketing Agency,11-50,Product Hunt,Free,0,2024-04-29,,No,
A00284,2023-01-28,Healthcare,51-200,Paid Ads,Free,0,2023-02-11,,No,
A00285,2024-02-03,E-commerce,1-10,Partner,Free,0,2024-02-17,,No,
A00286,2024-09-13,SaaS,500+,Partner,Free,0,2024-09-27,,No,
A00287,2024-09-28,E-commerce,500+,Referral,Free,0,2024-10-12,,No,
A00288,2023-06-06,Education,51-200,Referral,Growth,199,2023-06-20,2023-06-21,No,
A00289,2024-01-20,Healthcare,51-200,Direct,Free,0,2024-02-03,,No,
A00290,2023-07-22,E-commerce,201-500,Referral,Growth,249,2023-08-05,2023-08-09,Yes,2024-06-19
A00291,2024-11-24,Logistics,500+,Paid Ads,Free,0,2024-12-08,,No,
A00292,2023-07-13,Education,11-50,Organic Search,Free,0,2023-07-27,,No,
A00293,2024-02-27,SaaS,500+,LinkedIn,Growth,149,2024-03-12,2024-03-12,No,
A00294,2024-11-23,Logistics,500+,Paid Ads,Free,0,2024-12-07,,No,
A00295,2024-05-05,E-commerce,201-500,LinkedIn,Free,0,2024-05-19,,No,
A00296,2024-06-21,Healthcare,51-200,Partner,Free,0,2024-07-05,,No,
A00297,2023-02-11,E-commerce,11-50,Organic Search,Free,0,2023-02-25,,No,
A00298,2023-01-09,Education,11-50,Referral,Free,0,2023-01-23,,No,
A00299,2024-04-12,Fintech,1-10,Paid Ads,Free,0,2024-04-26,,No,
A00300,2024-12-28,Marketing Agency,201-500,Paid Ads,Growth,199,2025-01-11,2025-01-17,No,
A00301,2023-05-18,Education,1-10,Partner,Free,0,2023-06-01,,No,
A00302,2023-09-19,Healthcare,500+,Organic Search,Free,0,2023-10-03,,No,
A00303,2024-10-21,Healthcare,1-10,Partner,Free,0,2024-11-04,,No,
A00304,2023-03-26,Real Estate,11-50,Product Hunt,Starter,29,2023-04-09,2023-04-16,No,
A00305,2023-07-30,Marketing Agency,51-200,LinkedIn,Free,0,2023-08-13,,No,
A00306,2023-03-31,Marketing Agency,11-50,Partner,Growth,249,2023-04-14,2023-04-21,Yes,2023-12-20
A00307,2023-09-13,Logistics,201-500,Product Hunt,Enterprise,799,2023-09-27,2023-09-28,Yes,2024-08-29
A00308,2023-05-25,Marketing Agency,51-200,Referral,Free,0,2023-06-08,,No,
A00309,2023-03-04,Fintech,1-10,Referral,Free,0,2023-03-18,,No,
A00310,2023-09-03,Education,1-10,Organic Search,Free,0,2023-09-17,,No,
