ticket_id,account_id,created_date,category,priority,resolution_hours,resolved
T000100,A00037,2024-09-23,Integration Issue,High,,No
T000101,A00037,2024-10-18,Bug Report,Medium,58,Yes
T000102,A00038,2024-07-08,Bug Report,Medium,,No
T000103,A00038,2024-09-23,Billing,Medium,30,Yes
T000104,A00038,2024-12-13,Integration Issue,Low,38,Yes
T000105,A00040,2024-11-20,Billing,Critical,1,Yes
T000106,A00040,2024-10-19,Performance,Medium,,No
T000107,A00041,2024-07-24,Performance,Medium,18,Yes
T000108,A00041,2024-07-20,Performance,Low,63,Yes
T000109,A00041,2024-12-12,Billing,Medium,65,Yes
T000110,A00041,2024-09-03,Onboarding Help,Low,,No
T000111,A00041,2024-09-27,Integration Issue,Low,117,Yes
T000112,A00041,2024-12-08,Bug Report,Medium,,No
T000113,A00042,2024-01-30,Integration Issue,Low,,No
T000114,A00043,2024-01-11,Bug Report,Low,53,Yes
T000115,A00043,2024-09-16,Integration Issue,Low,64,Yes
T000116,A00045,2024-03-23,Performance,High,,No
T000117,A00045,2024-11-07,Onboarding Help,Low,132,Yes
T000118,A00045,2024-02-21,Bug Report,Low,39,Yes
T000119,A00046,2024-04-09,Performance,Low,79,Yes
T000120,A00046,2024-04-10,Billing,Low,167,Yes
T000121,A00046,2023-10-26,Onboarding Help,Medium,59,Yes
T000122,A00046,2024-09-01,Performance,Medium,,No
T000123,A00046,2024-02-03,Integration Issue,Medium,34,Yes
T000124,A00046,2023-09-12,Integration Issue,Low,35,Yes
T000125,A00046,2024-12-05,Feature Request,Medium,76,Yes
T000126,A00047,2023-11-29,Performance,Low,87,Yes
T000127,A00047,2024-02-10,Integration Issue,Medium,23,Yes
T000128,A00047,2024-10-12,Onboarding Help,Medium,68,Yes
T000129,A00047,2023-10-29,Feature Request,Medium,59,Yes
T000130,A00047,2023-12-30,Billing,High,12,Yes
T000131,A00047,2024-06-30,Integration Issue,Low,162,Yes
T000132,A00047,2023-11-21,Bug Report,Medium,68,Yes
T000133,A00047,2023-12-10,Feature Request,High,30,Yes
T000134,A00047,2023-07-14,Integration Issue,High,45,Yes
T000135,A00047,2024-07-20,Bug Report,Low,54,Yes
T000136,A00047,2023-08-30,Onboarding Help,Critical,1,Yes
T000137,A00048,2024-10-27,Bug Report,Medium,58,Yes
T000138,A00050,2024-12-17,Performance,Medium,45,Yes
T000139,A00051,2023-09-12,Integration Issue,High,19,Yes
T000140,A00051,2024-10-27,Feature Request,Low,98,Yes
T000141,A00051,2024-03-05,Billing,Medium,63,Yes
T000142,A00051,2024-08-24,Billing,Low,36,Yes
T000143,A00051,2024-11-02,Integration Issue,Low,63,Yes
T000144,A00051,2024-08-26,Feature Request,Low,154,Yes
T000145,A00051,2024-01-04,Performance,Low,31,Yes
T000146,A00052,2024-05-22,Integration Issue,Critical,6,Yes
T000147,A00052,2024-09-12,Integration Issue,Medium,,No
T000148,A00053,2023-11-24,Integration Issue,Medium,38,Yes
T000149,A00054,2024-06-17,Feature Request,Low,130,Yes
T000150,A00057,2024-12-30,Performance,Medium,42,Yes
T000151,A00059,2023-04-27,Billing,Medium,20,Yes
T000152,A00059,2023-10-30,Billing,Medium,54,Yes
T000153,A00060,2024-10-19,Performance,High,31,Yes
T000154,A00060,2024-09-19,Integration Issue,Medium,70,Yes
T000155,A00060,2024-11-19,Performance,Low,90,Yes
T000156,A00062,2024-11-23,Onboarding Help,Low,37,Yes
T000157,A00062,2024-11-09,Integration Issue,Medium,92,Yes
T000158,A00063,2023-11-10,Billing,Low,77,Yes
T000159,A00063,2024-06-17,Integration Issue,Medium,85,Yes
T000160,A00063,2023-10-28,Integration Issue,Medium,,No
T000161,A00063,2024-10-12,Onboarding Help,Low,101,Yes
T000162,A00063,2024-08-17,Performance,Medium,27,Yes
T000163,A00063,2024-04-05,Onboarding Help,Low,102,Yes
T000164,A00063,2024-04-26,Bug Report,Medium,78,Yes
T000165,A00063,2024-08-14,Billing,High,,No
T000166,A00063,2024-10-06,Integration Issue,Low,,No
T000167,A00063,2024-08-24,Performance,Medium,74,Yes
T000168,A00063,2024-02-07,Billing,Low,138,Yes
T000169,A00064,2024-07-23,Onboarding Help,Low,43,Yes
T000170,A00065,2024-08-24,Performance,High,,No
T000171,A00066,2024-02-26,Performance,Low,68,Yes
T000172,A00066,2024-09-29,Feature Request,Medium,16,Yes
T000173,A00066,2023-12-23,Onboarding Help,High,35,Yes
T000174,A00066,2024-07-27,Billing,Low,167,Yes
T000175,A00066,2023-12-02,Bug Report,Low,24,Yes
T000176,A00066,2024-02-22,Feature Request,Medium,74,Yes
T000177,A00066,2024-01-08,Onboarding Help,Low,58,Yes
T000178,A00067,2024-08-27,Billing,Low,124,Yes
T000179,A00067,2024-09-26,Integration Issue,Medium,27,Yes
T000180,A00067,2023-09-28,Billing,Critical,6,Yes
T000181,A00067,2024-03-01,Performance,Low,55,Yes
T000182,A00070,2024-10-27,Billing,Medium,51,Yes
T000183,A00070,2024-02-14,Billing,High,31,Yes
T000184,A00071,2023-03-01,Bug Report,Critical,8,Yes
T000185,A00071,2023-03-07,Onboarding Help,Low,57,Yes
T000186,A00071,2024-01-25,Performance,Medium,78,Yes
T000187,A00072,2024-12-29,Bug Report,Medium,24,Yes
T000188,A00072,2024-12-25,Bug Report,Medium,96,Yes
T000189,A00072,2024-12-29,Feature Request,Low,118,Yes
T000190,A00072,2024-11-25,Feature Request,Medium,64,Yes
T000191,A00075,2024-01-05,Billing,Medium,77,Yes
T000192,A00076,2023-10-10,Performance,Medium,23,Yes
T000193,A00076,2024-07-12,Performance,Medium,30,Yes
T000194,A00078,2024-12-21,Bug Report,Low,,No
T000195,A00080,2024-01-29,Feature Request,High,7,Yes
T000196,A00080,2024-03-06,Integration Issue,Medium,,No
T000197,A00081,2024-12-16,Integration Issue,High,24,Yes
T000198,A00082,2023-10-13,Onboarding Help,Low,102,Yes
T000199,A00082,2024-07-20,Billing,Low,120,Yes
T000200,A00083,2024-06-14,Bug Report,Medium,,No
T000201,A00084,2024-12-24,Onboarding Help,High,13,Yes
T000202,A00084,2024-12-23,Performance,Medium,20,Yes
T000203,A00084,2024-12-28,Billing,Medium,88,Yes
T000204,A00085,2024-10-01,Feature Request,Critical,,No
T000205,A00085,2024-02-24,Performance,Medium,,No
T000206,A00085,2023-09-26,Onboarding Help,High,47,Yes
T000207,A00086,2024-06-15,Integration Issue,Critical,2,Yes
T000208,A00087,2024-04-14,Onboarding Help,Medium,42,Yes
T000209,A00087,2023-10-23,Bug Report,High,46,Yes
T000210,A00088,2024-09-22,Integration Issue,Medium,71,Yes
T000211,A00088,2024-08-12,Onboarding Help,Medium,20,Yes
T000212,A00088,2023-08-17,Billing,Low,145,Yes
T000213,A00089,2024-12-20,Performance,Low,145,Yes
T000214,A00089,2024-12-12,Performance,Low,106,Yes
T000215,A00090,2024-12-05,Integration Issue,Medium,49,Yes
T000216,A00090,2024-11-16,Feature Request,Medium,63,Yes
T000217,A00090,2024-12-27,Bug Report,Medium,87,Yes
T000218,A00090,2024-12-04,Performance,Low,44,Yes
T000219,A00091,2024-03-29,Billing,High,22,Yes
T000220,A00091,2024-03-24,Billing,Medium,57,Yes
T000221,A00091,2024-02-16,Onboarding Help,Low,99,Yes
T000222,A00091,2024-04-03,Performance,Low,60,Yes
T000223,A00091,2024-03-27,Onboarding Help,Medium,57,Yes
T000224,A00091,2023-09-26,Feature Request,Critical,,No
T000225,A00092,2023-08-19,Feature Request,Low,52,Yes
T000226,A00092,2023-08-04,Feature Request,Low,,No
T000227,A00093,2024-04-17,Performance,Medium,83,Yes
T000228,A00093,2023-08-30,Feature Request,Medium,42,Yes
T000229,A00093,2024-02-02,Feature Request,Medium,70,Yes
T000230,A00093,2023-12-10,Feature Request,Medium,36,Yes
T000231,A00093,2023-04-14,Feature Request,Low,47,Yes
T000232,A00093,2023-11-23,Feature Request,Critical,6,Yes
T000233,A00093,2024-05-29,Bug Report,Medium,15,Yes
T000234,A00093,2024-03-11,Bug Report,High,,No
T000235,A00093,2023-10-01,Bug Report,Medium,,No
T000236,A00093,2023-10-20,Bug Report,Low,50,Yes
T000237,A00093,2024-03-17,Bug Report,High,43,Yes
T000238,A00093,2023-06-02,Performance,Critical,8,Yes
T000239,A00093,2024-11-23,Bug Report,High,,No
T000240,A00093,2024-07-16,Bug Report,High,20,Yes
T000241,A00094,2024-12-05,Integration Issue,Low,45,Yes
T000242,A00094,2023-11-21,Integration Issue,Low,137,Yes
T000243,A00095,2024-04-18,Performance,Critical,6,Yes
T000244,A00095,2024-05-09,Bug Report,Low,67,Yes
T000245,A00095,2024-07-11,Billing,Low,76,Yes
T000246,A00095,2024-08-14,Feature Request,Medium,67,Yes
T000247,A00095,2024-05-14,Integration Issue,Medium,77,Yes
T000248,A00095,2024-09-01,Performance,Medium,,No
T000249,A00095,2024-04-08,Performance,High,15,Yes
T000250,A00095,2024-09-30,Billing,Low,56,Yes
T000251,A00095,2024-11-12,Integration Issue,Low,145,Yes
T000252,A00095,2024-11-12,Bug Report,Low,139,Yes
T000253,A00096,2024-10-08,Bug Report,Low,44,Yes
T000254,A00096,2024-08-19,Billing,Low,122,Yes
T000255,A00096,2024-12-31,Bug Report,Critical,8,Yes
T000256,A00097,2023-12-30,Feature Request,Low,46,Yes
T000257,A00099,2024-09-20,Feature Request,Medium,32,Yes
T000258,A00100,2024-05-23,Performance,High,34,Yes
T000259,A00100,2024-07-26,Billing,Medium,,No
T000260,A00100,2024-07-04,Feature Request,Critical,7,Yes
T000261,A00100,2024-09-04,Onboarding Help,High,18,Yes
T000262,A00100,2024-10-22,Billing,High,5,Yes
T000263,A00101,2024-01-08,Bug Report,Low,,No
T000264,A00101,2024-05-29,Onboarding Help,Medium,35,Yes
T000265,A00101,2024-01-06,Bug Report,Low,143,Yes
T000266,A00101,2023-09-20,Feature Request,Medium,37,Yes
T000267,A00101,2023-11-27,Performance,Low,70,Yes
T000268,A00101,2024-10-17,Performance,Medium,62,Yes
T000269,A00101,2024-10-17,Onboarding Help,Medium,90,Yes
T000270,A00101,2024-12-19,Integration Issue,High,44,Yes
T000271,A00102,2024-12-06,Bug Report,Medium,47,Yes
T000272,A00103,2024-08-22,Bug Report,Critical,7,Yes
T000273,A00103,2024-12-06,Integration Issue,Medium,43,Yes
T000274,A00103,2024-12-04,Performance,High,7,Yes
T000275,A00104,2024-10-03,Feature Request,Low,160,Yes
T000276,A00104,2024-12-14,Feature Request,Low,102,Yes
T000277,A00106,2024-04-07,Integration Issue,Low,26,Yes
T000278,A00106,2024-04-12,Integration Issue,High,,No
T000279,A00106,2024-04-11,Bug Report,Medium,13,Yes
T000280,A00107,2024-10-19,Billing,Critical,5,Yes
T000281,A00107,2024-09-16,Bug Report,High,26,Yes
T000282,A00108,2024-05-20,Integration Issue,Low,58,Yes
T000283,A00108,2024-11-16,Billing,High,23,Yes
T000284,A00108,2024-10-16,Feature Request,Medium,65,Yes
T000285,A00108,2024-07-27,Performance,Low,73,Yes
T000286,A00109,2024-12-21,Billing,Medium,91,Yes
T000287,A00109,2024-12-12,Onboarding Help,Low,153,Yes
T000288,A00109,2024-12-15,Onboarding Help,Low,78,Yes
T000289,A00109,2024-12-13,Onboarding Help,Medium,52,Yes
T000290,A00109,2024-12-10,Billing,Medium,69,Yes
T000291,A00109,2024-12-12,Bug Report,Critical,8,Yes
T000292,A00110,2023-11-15,Feature Request,Medium,82,Yes
T000293,A00110,2024-08-23,Feature Request,High,36,Yes
T000294,A00111,2024-11-29,Feature Request,Medium,44,Yes
T000295,A00111,2024-10-11,Onboarding Help,Medium,,No
T000296,A00111,2024-09-22,Onboarding Help,Low,163,Yes
T000297,A00112,2024-02-21,Billing,Low,161,Yes
T000298,A00112,2024-08-09,Billing,High,31,Yes
T000299,A00115,2024-09-30,Feature Request,Medium,20,Yes
T000300,A00116,2023-11-24,Bug Report,Low,,No
T000301,A00116,2024-04-21,Feature Request,Medium,,No
T000302,A00116,2024-05-22,Bug Report,Medium,,No
T000303,A00117,2024-11-19,Feature Request,High,29,Yes
T000304,A00117,2023-09-18,Integration Issue,Medium,25,Yes
T000305,A00117,2024-01-07,Feature Request,High,31,Yes
T000306,A00117,2024-03-13,Feature Request,Medium,91,Yes
T000307,A00117,2024-01-02,Feature Request,High,34,Yes
T000308,A00117,2024-06-24,Feature Request,Medium,81,Yes
T000309,A00117,2024-11-12,Bug Report,Low,134,Yes
T000310,A00117,2023-12-15,Billing,High,30,Yes
T000311,A00118,2024-12-08,Performance,High,11,Yes
T000312,A00119,2024-12-16,Onboarding Help,High,15,Yes
T000313,A00120,2024-09-27,Onboarding Help,Medium,76,Yes
T000314,A00120,2024-01-06,Onboarding Help,Medium,64,Yes
T000315,A00120,2024-08-15,Bug Report,High,42,Yes
T000316,A00120,2023-09-28,Billing,High,10,Yes
T000317,A00120,2024-10-28,Bug Report,Low,166,Yes
T000318,A00120,2024-07-29,Feature Request,Low,,No
T000319,A00120,2024-12-23,Bug Report,Low,,No
T000320,A00120,2024-06-07,Onboarding Help,Medium,71,Yes
T000321,A00121,2024-06-25,Performance,High,10,Yes
T000322,A00121,2023-10-26,Bug Report,Low,98,Yes
T000323,A00121,2024-03-02,Onboarding Help,Low,93,Yes
T000324,A00121,2024-02-05,Performance,Critical,8,Yes
T000325,A00121,2024-12-29,Performance,Low,38,Yes
T000326,A00121,2024-05-25,Billing,Critical,,No
T000327,A00121,2024-08-25,Billing,Low,138,Yes
T000328,A00121,2023-10-21,Onboarding Help,Low,35,Yes
T000329,A00121,2023-05-16,Billing,Medium,,No
T000330,A00121,2024-10-17,Performance,High,41,Yes
T000331,A00121,2023-08-07,Integration Issue,Medium,78,Yes
T000332,A00121,2023-10-31,Bug Report,Medium,38,Yes
T000333,A00121,2023-12-22,Feature Request,Critical,6,Yes
T000334,A00121,2024-04-29,Performance,Low,154,Yes
T000335,A00122,2024-07-04,Bug Report,Medium,80,Yes
T000336,A00122,2024-10-18,Integration Issue,High,5,Yes
T000337,A00122,2024-05-13,Bug Report,Low,45,Yes
T000338,A00124,2024-07-06,Bug Report,Low,89,Yes
T000339,A00124,2024-12-02,Integration Issue,Medium,56,Yes
T000340,A00124,2024-08-14,Feature Request,Medium,83,Yes
T000341,A00124,2023-11-15,Billing,High,42,Yes
T000342,A00124,2023-09-22,Bug Report,High,44,Yes
T000343,A00125,2024-12-31,Onboarding Help,Low,39,Yes
T000344,A00125,2024-12-25,Integration Issue,Medium,18,Yes
T000345,A00125,2024-12-19,Bug Report,Medium,63,Yes
T000346,A00127,2024-12-20,Integration Issue,Medium,61,Yes
T000347,A00128,2024-12-28,Performance,High,38,Yes
T000348,A00130,2023-05-31,Bug Report,Medium,53,Yes
T000349,A00130,2024-11-25,Billing,High,,No
T000350,A00131,2024-05-22,Billing,Medium,21,Yes
T000351,A00131,2023-11-16,Onboarding Help,Low,26,Yes
T000352,A00132,2024-12-02,Feature Request,Low,131,Yes
T000353,A00132,2023-04-03,Feature Request,Low,115,Yes
T000354,A00132,2024-09-21,Integration Issue,High,20,Yes
T000355,A00132,2024-07-11,Performance,Medium,65,Yes
T000356,A00132,2024-11-14,Bug Report,Low,,No
T000357,A00132,2024-02-08,Feature Request,Low,154,Yes
T000358,A00132,2024-06-27,Billing,Medium,46,Yes
T000359,A00134,2024-03-06,Billing,Medium,,No
T000360,A00135,2024-07-07,Billing,High,31,Yes
T000361,A00137,2024-12-01,Billing,Medium,42,Yes
T000362,A00137,2024-08-07,Onboarding Help,Medium,,No
T000363,A00138,2024-08-09,Onboarding Help,High,,No
T000364,A00138,2024-11-18,Feature Request,Medium,17,Yes
T000365,A00139,2024-06-04,Feature Request,High,38,Yes
T000366,A00139,2024-11-18,Billing,High,14,Yes
T000367,A00139,2024-07-14,Performance,Medium,67,Yes
T000368,A00139,2024-10-16,Integration Issue,Low,146,Yes
T000369,A00141,2024-01-20,Feature Request,Medium,89,Yes
T000370,A00141,2024-12-13,Billing,Critical,6,Yes
T000371,A00141,2024-09-12,Bug Report,Low,130,Yes
T000372,A00143,2024-11-02,Integration Issue,Medium,54,Yes
T000373,A00143,2024-11-04,Onboarding Help,Critical,,No
T000374,A00144,2023-11-26,Onboarding Help,Low,149,Yes
T000375,A00144,2024-05-12,Billing,Medium,54,Yes
T000376,A00145,2024-12-28,Billing,Medium,66,Yes
T000377,A00145,2024-12-27,Bug Report,Medium,66,Yes
T000378,A00146,2024-05-08,Integration Issue,Critical,4,Yes
T000379,A00146,2024-09-17,Feature Request,High,32,Yes
T000380,A00148,2024-08-13,Onboarding Help,Low,,No
T000381,A00148,2024-10-21,Bug Report,Low,99,Yes
T000382,A00148,2024-05-13,Billing,Low,88,Yes
T000383,A00149,2024-12-27,Billing,Medium,32,Yes
T000384,A00150,2024-08-12,Billing,Medium,,No
T000385,A00150,2024-08-15,Onboarding Help,Critical,2,Yes
T000386,A00150,2023-12-01,Billing,Medium,,No
T000387,A00150,2024-02-20,Onboarding Help,Low,167,Yes
T000388,A00150,2024-02-07,Feature Request,High,37,Yes
T000389,A00150,2023-11-16,Performance,Medium,47,Yes
T000390,A00150,2023-11-24,Billing,Critical,,No
T000391,A00150,2024-04-13,Billing,Critical,3,Yes
T000392,A00151,2024-01-24,Integration Issue,Medium,40,Yes
T000393,A00151,2024-12-19,Onboarding Help,Medium,,No
T000394,A00151,2024-09-22,Bug Report,Medium,25,Yes
T000395,A00152,2023-09-15,Onboarding Help,Low,,No
T000396,A00154,2024-06-09,Integration Issue,Critical,4,Yes
T000397,A00155,2024-09-13,Billing,Medium,76,Yes
T000398,A00155,2023-12-21,Onboarding Help,Medium,39,Yes
T000399,A00155,2024-02-12,Onboarding Help,Medium,46,Yes
T000400,A00157,2023-11-29,Feature Request,Medium,,No
T000401,A00157,2023-12-01,Feature Request,Medium,92,Yes
T000402,A00157,2024-05-09,Feature Request,High,,No
T000403,A00158,2024-07-21,Performance,Low,32,Yes
T000404,A00158,2023-02-01,Billing,High,28,Yes
T000405,A00158,2023-04-30,Feature Request,Low,122,Yes
T000406,A00158,2023-12-08,Feature Request,High,,No
T000407,A00158,2023-06-08,Onboarding Help,Low,67,Yes
T000408,A00158,2023-11-27,Billing,Medium,57,Yes
T000409,A00158,2023-09-11,Bug Report,Critical,1,Yes
T000410,A00159,2024-12-28,Bug Report,High,36,Yes
T000411,A00159,2024-08-22,Performance,Low,100,Yes
T000412,A00160,2024-09-04,Feature Request,High,13,Yes
T000413,A00160,2024-11-15,Bug Report,Low,134,Yes
T000414,A00160,2024-09-02,Integration Issue,High,33,Yes
T000415,A00160,2024-10-29,Performance,Medium,14,Yes
T000416,A00160,2024-07-31,Feature Request,Low,65,Yes
T000417,A00160,2024-12-10,Billing,Medium,15,Yes
T000418,A00160,2024-11-29,Onboarding Help,Low,168,Yes
T000419,A00162,2024-08-26,Feature Request,Low,,No
T000420,A00162,2024-07-22,Performance,Critical,,No
T000421,A00162,2024-10-10,Feature Request,High,23,Yes
T000422,A00162,2024-09-09,Onboarding Help,Low,51,Yes
T000423,A00162,2024-12-28,Integration Issue,High,47,Yes
T000424,A00162,2024-10-28,Integration Issue,Low,,No
T000425,A00162,2024-12-08,Onboarding Help,High,19,Yes
T000426,A00162,2024-11-24,Billing,High,21,Yes
T000427,A00162,2024-08-17,Onboarding Help,Medium,72,Yes
T000428,A00162,2024-08-28,Integration Issue,Low,56,Yes
T000429,A00164,2024-12-13,Feature Request,Low,,No
T000430,A00164,2024-10-28,Onboarding Help,Low,,No
T000431,A00164,2024-11-16,Performance,High,26,Yes
T000432,A00164,2024-11-11,Onboarding Help,High,,No
T000433,A00164,2024-09-08,Billing,Medium,18,Yes
T000434,A00164,2024-11-17,Performance,Medium,,No
T000435,A00164,2024-10-15,Billing,High,,No
T000436,A00164,2024-09-18,Performance,Medium,41,Yes
T000437,A00165,2024-12-26,Integration Issue,Low,144,Yes
T000438,A00165,2024-10-02,Billing,Medium,65,Yes
T000439,A00165,2024-10-20,Feature Request,High,9,Yes
T000440,A00165,2024-08-04,Billing,Low,141,Yes
T000441,A00165,2024-10-06,Integration Issue,High,6,Yes
T000442,A00165,2024-10-14,Bug Report,Low,45,Yes
T000443,A00165,2024-08-16,Onboarding Help,Medium,,No
T000444,A00165,2024-02-12,Bug Report,Critical,1,Yes
T000445,A00165,2024-12-23,Billing,High,33,Yes
T000446,A00165,2024-11-02,Performance,Low,,No
T000447,A00165,2024-04-23,Onboarding Help,Low,136,Yes
T000448,A00165,2024-03-05,Feature Request,Low,157,Yes
T000449,A00165,2024-10-11,Onboarding Help,High,37,Yes
T000450,A00165,2024-05-15,Onboarding Help,Medium,,No
T000451,A00167,2023-11-25,Feature Request,Low,163,Yes
T000452,A00167,2024-08-29,Bug Report,Medium,,No
T000453,A00168,2024-07-03,Bug Report,Low,131,Yes
T000454,A00168,2024-06-09,Onboarding Help,Medium,62,Yes
T000455,A00168,2024-06-22,Performance,Low,150,Yes
T000456,A00169,2023-11-23,Feature Request,High,27,Yes
T000457,A00169,2024-10-04,Onboarding Help,Medium,16,Yes
T000458,A00170,2023-09-14,Billing,Medium,68,Yes
T000459,A00170,2023-11-02,Feature Request,Low,,No
T000460,A00171,2024-07-21,Feature Request,Medium,12,Yes
T000461,A00171,2024-06-11,Onboarding Help,Low,,No
T000462,A00171,2024-06-26,Bug Report,Low,,No
T000463,A00171,2023-10-09,Bug Report,Medium,69,Yes
T000464,A00171,2024-02-21,Billing,Low,106,Yes
T000465,A00171,2024-09-22,Integration Issue,Low,146,Yes
T000466,A00171,2024-07-20,Bug Report,High,20,Yes
T000467,A00171,2023-10-02,Bug Report,High,,No
T000468,A00171,2024-01-19,Onboarding Help,Medium,80,Yes
T000469,A00171,2024-09-19,Bug Report,Low,144,Yes
T000470,A00172,2023-10-03,Performance,Low,134,Yes
